,Unnamed: 0,Unnamed: 0.1,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-18 18:57:53.235886,2021-06-19 09:01:19.140573
0,0,0,"1, Måneskin, ZITTI E BUONI","1, Måneskin, ZITTI E BUONI","1, Måneskin, ZITTI E BUONI","1, Måneskin, ZITTI E BUONI","1, Måneskin, ZITTI E BUONI","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте",,
1,1,1,"2, Måneskin, I WANNA BE YOUR SLAVE","2, Måneskin, I WANNA BE YOUR SLAVE","2, Måneskin, I WANNA BE YOUR SLAVE","2, Dzharakhov, Я в моменте","2, Dzharakhov, Я в моменте","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI","1, Dzharakhov, Я в моменте","1, Dzharakhov, Я в моменте"
2,2,2,"3, MORGENSHTERN, SHOW","3, MORGENSHTERN, SHOW","3, MORGENSHTERN, SHOW","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE","2, Måneskin, ZITTI E BUONI","2, Måneskin, ZITTI E BUONI"
3,3,3,"4, Måneskin, CORALINE","4, Måneskin, CORALINE","4, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","4, kizaru, Moulin Rouge (feat. JABO)","4, MORGENSHTERN, SHOW","4, MORGENSHTERN, SHOW","4, MORGENSHTERN, SHOW","4, MORGENSHTERN, SHOW","4, MORGENSHTERN, SHOW","4, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","4, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","4, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","4, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","4, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","4, Måneskin, Beggin'","4, Måneskin, Beggin'","3, Måneskin, I WANNA BE YOUR SLAVE","3, Måneskin, I WANNA BE YOUR SLAVE"
4,4,4,"5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","5, Måneskin, CORALINE","5, MORGENSHTERN, SHOW","5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","5, MORGENSHTERN, SHOW","5, MORGENSHTERN, SHOW","5, DEAD BLONDE, Мальчик на девятке","5, MORGENSHTERN, SHOW","5, Måneskin, Beggin'","5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","5, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","4, MORGENSHTERN, ARISTOCRAT","4, MORGENSHTERN, ARISTOCRAT"
5,5,5,"6, MORGENSHTERN, ARISTOCRAT","6, MORGENSHTERN, ARISTOCRAT","6, BTS, Butter","6, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","6, DEAD BLONDE, Мальчик на девятке","6, DEAD BLONDE, Мальчик на девятке","6, Måneskin, Beggin'","6, Måneskin, Beggin'","6, Måneskin, Beggin'","6, Måneskin, Beggin'","6, DEAD BLONDE, Мальчик на девятке","6, MORGENSHTERN, SHOW","6, Måneskin, Beggin'","6, MORGENSHTERN, SHOW","6, MORGENSHTERN, SHOW","6, MORGENSHTERN, ARISTOCRAT","5, Måneskin, Beggin'","5, Måneskin, Beggin'"
6,6,6,"7, LOVV66, Трап Трап","7, LOVV66, Трап Трап","7, DEAD BLONDE, Мальчик на девятке","7, GONE.Fludd, Плохая Сука","7, Måneskin, CORALINE","7, Måneskin, Beggin'","7, DEAD BLONDE, Мальчик на девятке","7, DEAD BLONDE, Мальчик на девятке","7, DEAD BLONDE, Мальчик на девятке","7, DEAD BLONDE, Мальчик на девятке","7, Måneskin, Beggin'","7, Måneskin, Beggin'","7, DEAD BLONDE, Мальчик на девятке","7, DEAD BLONDE, Мальчик на девятке","7, BRANYA, Пополам","7, MORGENSHTERN, SHOW","6, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix","6, MORGENSHTERN, Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix"
7,7,7,"8, DEAD BLONDE, Мальчик на девятке","8, DEAD BLONDE, Мальчик на девятке","8, MORGENSHTERN, ARISTOCRAT","8, DEAD BLONDE, Мальчик на девятке","8, Måneskin, Beggin'","8, Måneskin, CORALINE","8, Måneskin, CORALINE","8, HammAli & Navai, Птичка","8, HammAli & Navai, Птичка","8, HammAli & Navai, Птичка","8, Yanix, Стейк","8, HammAli & Navai, Птичка","8, HammAli & Navai, Птичка","8, HammAli & Navai, Птичка","8, DEAD BLONDE, Мальчик на девятке","8, BRANYA, Пополам","7, MORGENSHTERN, SHOW","7, MORGENSHTERN, SHOW"
8,8,8,"9, BTS, Butter","9, BTS, Butter","9, LOVV66, Трап Трап","9, Måneskin, CORALINE","9, MORGENSHTERN, ARISTOCRAT","9, MORGENSHTERN, ARISTOCRAT","9, BTS, Butter","9, Måneskin, CORALINE","9, LOVV66, Трап Трап","9, LOVV66, Трап Трап","9, HammAli & Navai, Птичка","9, Lil Nas X, MONTERO (Call Me By Your Name)","9, Lil Nas X, MONTERO (Call Me By Your Name)","9, BRANYA, Пополам","9, HammAli & Navai, Птичка","9, DEAD BLONDE, Мальчик на девятке","8, BRANYA, Пополам","8, BRANYA, Пополам"
9,9,9,"10, MORGENSHTERN, ДУЛО","10, MORGENSHTERN, ДУЛО","10, MORGENSHTERN, ДУЛО","10, LOVV66, Трап Трап","10, LOVV66, Трап Трап","10, BTS, Butter","10, MORGENSHTERN, ARISTOCRAT","10, LOVV66, Трап Трап","10, Miyagi & Andy Panda, Патрон","10, Miyagi & Andy Panda, Патрон","10, LOVV66, Трап Трап","10, Miyagi & Andy Panda, Патрон","10, Miyagi & Andy Panda, Патрон","10, Lil Nas X, MONTERO (Call Me By Your Name)","10, MORGENSHTERN, ARISTOCRAT","10, HammAli & Navai, Птичка","9, DEAD BLONDE, Мальчик на девятке","9, DEAD BLONDE, Мальчик на девятке"
10,10,10,"11, DEAD BLONDE, Бесприданница","11, DEAD BLONDE, Бесприданница","11, DEAD BLONDE, Бесприданница","11, BTS, Butter","11, BTS, Butter","11, LOVV66, Трап Трап","11, LOVV66, Трап Трап","11, BTS, Butter","11, Måneskin, CORALINE","11, MORGENSHTERN, ARISTOCRAT","11, Miyagi & Andy Panda, Патрон","11, DEAD BLONDE, Бесприданница","11, DEAD BLONDE, Бесприданница","11, Miyagi & Andy Panda, Патрон","11, Lil Nas X, MONTERO (Call Me By Your Name)","11, Lil Nas X, MONTERO (Call Me By Your Name)","10, HammAli & Navai, Птичка","10, HammAli & Navai, Птичка"
11,11,11,"12, SODA LUV, Тысячи рук","12, SODA LUV, Тысячи рук","12, SODA LUV, Тысячи рук","12, MORGENSHTERN, ARISTOCRAT","12, MORGENSHTERN, ДУЛО","12, MORGENSHTERN, ДУЛО","12, MORGENSHTERN, ДУЛО","12, Miyagi & Andy Panda, Патрон","12, MORGENSHTERN, ARISTOCRAT","12, Lil Nas X, MONTERO (Call Me By Your Name)","12, Lil Nas X, MONTERO (Call Me By Your Name)","12, MORGENSHTERN, ДУЛО","12, ooes, зима","12, ooes, зима","12, Miyagi & Andy Panda, Патрон","12, Miyagi & Andy Panda, Патрон","11, Lil Nas X, MONTERO (Call Me By Your Name)","11, Lil Nas X, MONTERO (Call Me By Your Name)"
12,12,12,"13, HammAli & Navai, Птичка","13, HammAli & Navai, Птичка","13, 10AGE, Нету интереса","13, Miyagi & Andy Panda, Оттепель","13, GONE.Fludd, Плохая Сука","13, HammAli & Navai, Птичка","13, HammAli & Navai, Птичка","13, MORGENSHTERN, ARISTOCRAT","13, Lil Nas X, MONTERO (Call Me By Your Name)","13, Måneskin, CORALINE","13, Miyagi & Andy Panda, Оттепель","13, LOVV66, Трап Трап","13, MORGENSHTERN, ДУЛО","13, DEAD BLONDE, Бесприданница","13, ooes, зима","13, DEAD BLONDE, Бесприданница","12, Miyagi & Andy Panda, Патрон","12, Miyagi & Andy Panda, Патрон"
13,13,13,"14, 10AGE, Нету интереса","14, 10AGE, Нету интереса","14, HammAli & Navai, Птичка","14, Måneskin, Beggin'","14, kizaru, Moulin Rouge (feat. JABO)","14, Miyagi & Andy Panda, Патрон","14, Miyagi & Andy Panda, Патрон","14, DEAD BLONDE, Бесприданница","14, DEAD BLONDE, Бесприданница","14, MORGENSHTERN, ДУЛО","14, DEAD BLONDE, Бесприданница","14, ooes, зима","14, LOVV66, Трап Трап","14, LOVV66, Трап Трап","14, DEAD BLONDE, Бесприданница","14, ooes, зима","13, DEAD BLONDE, Бесприданница","13, DEAD BLONDE, Бесприданница"
14,14,14,"15, MORGENSHTERN, HUBLOT","15, MORGENSHTERN, HUBLOT","15, Måneskin, Beggin'","15, Max Korzh, Аттестат","15, HammAli & Navai, Птичка","15, DEAD BLONDE, Бесприданница","15, DEAD BLONDE, Бесприданница","15, MORGENSHTERN, ДУЛО","15, MORGENSHTERN, ДУЛО","15, DEAD BLONDE, Бесприданница","15, MORGENSHTERN, ДУЛО","15, Miyagi & Andy Panda, Оттепель","15, Måneskin, CORALINE","15, Miyagi & Andy Panda, Оттепель","15, LOVV66, Трап Трап","15, LOVV66, Трап Трап","14, ooes, зима","14, ooes, зима"
15,15,15,"16, Masked Wolf, Astronaut In The Ocean","16, Masked Wolf, Astronaut In The Ocean","16, Lil Nas X, MONTERO (Call Me By Your Name)","16, MORGENSHTERN, ДУЛО","16, Miyagi & Andy Panda, Патрон","16, SODA LUV, Тысячи рук","16, SODA LUV, Тысячи рук","16, Lil Nas X, MONTERO (Call Me By Your Name)","16, BTS, Butter","16, 10AGE, Нету интереса","16, Måneskin, CORALINE","16, Måneskin, CORALINE","16, Miyagi & Andy Panda, Оттепель","16, MORGENSHTERN, ДУЛО","16, Miyagi & Andy Panda, Оттепель","16, Miyagi & Andy Panda, Оттепель","15, MORGENSHTERN, ДУЛО","15, MORGENSHTERN, ДУЛО"
16,16,16,"17, Lil Nas X, MONTERO (Call Me By Your Name)","17, Lil Nas X, MONTERO (Call Me By Your Name)","17, Masked Wolf, Astronaut In The Ocean","17, HammAli & Navai, Птичка","17, DEAD BLONDE, Бесприданница","17, GONE.Fludd, Плохая Сука","17, GONE.Fludd, Плохая Сука","17, SODA LUV, Тысячи рук","17, 10AGE, Нету интереса","17, ooes, зима","17, MORGENSHTERN, ARISTOCRAT","17, MORGENSHTERN, ARISTOCRAT","17, 10AGE, Нету интереса","17, Måneskin, CORALINE","17, MORGENSHTERN, ДУЛО","17, MORGENSHTERN, ДУЛО","16, LOVV66, Трап Трап","16, LOVV66, Трап Трап"
17,17,17,"18, Miyagi & Andy Panda, Патрон","18, Miyagi & Andy Panda, Патрон","18, Miyagi & Andy Panda, Патрон","18, DEAD BLONDE, Бесприданница","18, SODA LUV, Тысячи рук","18, ooes, зима","18, 10AGE, Нету интереса","18, 10AGE, Нету интереса","18, SODA LUV, Тысячи рук","18, BTS, Butter","18, 10AGE, Нету интереса","18, 10AGE, Нету интереса","18, MORGENSHTERN, ARISTOCRAT","18, 10AGE, Нету интереса","18, Måneskin, CORALINE","18, 10AGE, Нету интереса","17, Miyagi & Andy Panda, Оттепель","17, Miyagi & Andy Panda, Оттепель"
18,18,18,"19, MORGENSHTERN, DINERO","19, MORGENSHTERN, DINERO","19, ooes, зима","19, SODA LUV, Тысячи рук","19, MORGENSHTERN, OLALA","19, MORGENSHTERN, OLALA","19, Lil Nas X, MONTERO (Call Me By Your Name)","19, ooes, зима","19, ooes, зима","19, Miyagi & Andy Panda, Оттепель","19, ooes, зима","19, SODA LUV, Тысячи рук","19, BTS, Butter","19, MORGENSHTERN, ARISTOCRAT","19, 10AGE, Нету интереса","19, Måneskin, CORALINE","18, 10AGE, Нету интереса","18, 10AGE, Нету интереса"
19,19,19,"20, Måneskin, Beggin'","20, Måneskin, Beggin'","20, MORGENSHTERN, HUBLOT","20, Miyagi & Andy Panda, Патрон","20, Lil Nas X, MONTERO (Call Me By Your Name)","20, Lil Nas X, MONTERO (Call Me By Your Name)","20, MORGENSHTERN, OLALA","20, GONE.Fludd, Плохая Сука","20, Miyagi & Andy Panda, Оттепель","20, SODA LUV, Тысячи рук","20, BTS, Butter","20, BTS, Butter","20, SODA LUV, Тысячи рук","20, BTS, Butter","20, BTS, Butter","20, BTS, Butter","19, DVRST, Close Eyes","19, DVRST, Close Eyes"
20,20,20,"21, MORGENSHTERN, PABLO","21, MORGENSHTERN, PABLO","21, SODA LUV, Бигасс","21, 10AGE, Нету интереса","21, 10AGE, Нету интереса","21, 10AGE, Нету интереса","21, ooes, зима","21, Masked Wolf, Astronaut In The Ocean","21, Masked Wolf, Astronaut In The Ocean","21, Masked Wolf, Astronaut In The Ocean","21, The Limba, Ронин","21, Masked Wolf, Astronaut In The Ocean","21, Masked Wolf, Astronaut In The Ocean","21, SODA LUV, Тысячи рук","21, DVRST, Close Eyes","21, DVRST, Close Eyes","20, Måneskin, CORALINE","20, Måneskin, CORALINE"
21,21,21,"22, MORGENSHTERN, OLALA","22, MORGENSHTERN, OLALA","22, MORGENSHTERN, DINERO","22, Lil Nas X, MONTERO (Call Me By Your Name)","22, Masked Wolf, Astronaut In The Ocean","22, Miyagi & Andy Panda, Оттепель","22, Miyagi & Andy Panda, Оттепель","22, MORGENSHTERN, OLALA","22, SODA LUV, Бигасс","22, SODA LUV, Бигасс","22, SODA LUV, Тысячи рук","22, Yanix, Стейк","22, SEEMEE, Голодный пёс [prod. by Pretty Scream]","22, Masked Wolf, Astronaut In The Ocean","22, SODA LUV, Тысячи рук","22, SODA LUV, Тысячи рук","21, BTS, Butter","21, BTS, Butter"
22,22,22,"23, ooes, зима","23, ooes, зима","23, MORGENSHTERN, PABLO","23, ooes, зима","23, ooes, зима","23, kizaru, Moulin Rouge (feat. JABO)","23, SODA LUV, Бигасс","23, Miyagi & Andy Panda, Оттепель","23, MORGENSHTERN, OLALA","23, MORGENSHTERN, OLALA","23, Masked Wolf, Astronaut In The Ocean","23, SODA LUV, Бигасс","23, SODA LUV, Бигасс","23, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","23, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","23, SEEMEE, Голодный пёс [prod. by Pretty Scream]","22, Masked Wolf, Astronaut In The Ocean","22, Masked Wolf, Astronaut In The Ocean"
23,23,23,"24, SODA LUV, Бигасс","24, SODA LUV, Бигасс","24, SEEMEE, Голодный пёс [prod. by Pretty Scream]","24, Masked Wolf, Astronaut In The Ocean","24, Miyagi & Andy Panda, Оттепель","24, Masked Wolf, Astronaut In The Ocean","24, MORGENSHTERN, PABLO","24, SODA LUV, Бигасс","24, GONE.Fludd, Плохая Сука","24, GONE.Fludd, Плохая Сука","24, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","24, SEEMEE, Голодный пёс [prod. by Pretty Scream]","24, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","24, SEEMEE, Голодный пёс [prod. by Pretty Scream]","24, Masked Wolf, Astronaut In The Ocean","24, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","23, fem.love, Фотографирую закат","23, fem.love, Фотографирую закат"
